date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-04-01,69702.148438,163.673996,36815629272.46094,149.65703,1.093661,0.093661,9.366059,0.935728,-0.064272
2024-04-02,65446.972656,157.882996,34568109252.44141,140.520769,1.123556,0.123556,12.35563,0.952358,-0.047642
2024-04-03,65980.8125,160.610992,34850075450.3125,141.666973,1.133722,0.133722,13.37222,0.969216,-0.030784
2024-04-04,68508.84375,161.542007,36185343636.09375,147.094893,1.098216,0.098216,9.821629,0.985674,-0.014326
2024-04-05,67837.640625,143.899994,35830824213.515625,145.653757,0.987959,-0.012041,-1.204063,0.997026,-0.002974
2024-04-08,71631.359375,151.298996,37834609551.484375,153.799226,0.983744,-0.016256,-1.625645,1.008781,0.008781
2024-04-09,69139.015625,144.102005,36518190967.890625,148.447931,0.970724,-0.029276,-2.927576,1.018459,0.018459
2024-04-10,70587.882812,156.600006,37283460883.32031,151.558784,1.033262,0.033262,3.326249,1.029192,0.029192
2024-04-11,70060.609375,155.181,37004962962.734375,150.426679,1.031606,0.031606,3.160557,1.039661,0.039661
2024-04-12,67195.867188,147.957993,35491849110.42969,144.275809,1.025522,0.025522,2.552183,1.047898,0.047898
2024-04-15,63426.210938,133.587997,33500773224.023438,136.182005,0.980952,-0.019048,-1.904809,1.053759,0.053759
2024-04-16,63811.863281,125.403,33704469007.20703,137.010037,0.915283,-0.084717,-8.471669,1.053959,0.053959
2024-04-17,61276.691406,118.805,32365429250.410156,131.566786,0.903001,-0.096999,-9.699853,1.058485,0.058485
2024-04-18,63512.753906,120.816002,33546483921.972656,136.367821,0.885957,-0.114043,-11.404317,1.05875,0.05875
2024-04-19,63843.570312,117.411003,33721216185.507812,137.078115,0.856526,-0.143474,-14.347375,1.057144,0.057144
2024-04-22,66837.679688,132.401001,35302659845.74219,143.506747,0.922612,-0.077388,-7.738832,1.055494,0.055494
2024-04-23,66407.273438,133.863998,35075325720.58594,142.582625,0.938852,-0.061148,-6.114789,1.05484,0.05484
2024-04-24,64276.898438,126.567001,33950093601.210938,138.008511,0.917096,-0.082904,-8.290437,1.050805,0.050805
2024-04-25,64481.707031,124.041,34058270428.30078,138.448254,0.895938,-0.104062,-10.406237,1.043151,0.043151
2024-04-26,63755.320312,128.238007,33674603859.257812,136.888634,0.936805,-0.063195,-6.319463,1.037916,0.037916
2024-04-29,63841.121094,129.296997,33719922544.902344,137.072856,0.943272,-0.056728,-5.672793,1.029489,0.029489
